# Fluent Forever 'Your First 625' (Gabriel Wyner, thematic order), Cebuano (tunatale-u8nz, 2026-09-26).
# Translations drafted by the orchestrator, then gated against the kaikki.org Cebuano extract.
# status: dictionary = headword with a compatible gloss; variant = listed as an alternative form (spelling kept because it is the common one);
#   usage = no headword, but used >= 5 times in the dictionary's example sentences; reviewed = headword whose gloss wording differs, meaning checked by hand;
#   unconfirmed = the dictionary cannot confirm it (mostly loanwords the extract lacks). NOT minted unless the user accepts it.
# Words dropped: multi-word entries (train station, son, daughter...), grammar labels, senses Cebuano shares one word for, and pink/adult (dictionary disagrees).
category	english	cebuano	status
animal	dog	iro	dictionary
animal	cat	iring	dictionary
animal	fish	isda	dictionary
animal	bird	langgam	dictionary
animal	cow	baka	dictionary
animal	pig	baboy	dictionary
animal	mouse	ilaga	dictionary
animal	horse	kabayo	dictionary
animal	wing	pako	dictionary
animal	animal	hayop	dictionary
transportation	train	tren	dictionary
transportation	plane	ayroplano	reviewed
transportation	car	awto	dictionary
transportation	truck	trak	dictionary
transportation	bicycle	bisikleta	dictionary
transportation	bus	bus	unconfirmed
transportation	boat	baroto	unconfirmed
transportation	ship	barko	dictionary
transportation	tire	ligid	dictionary
transportation	gasoline	gasolina	dictionary
transportation	engine	makina	dictionary
transportation	ticket	tiket	dictionary
transportation	vehicle	sakyanan	variant
location	city	siyudad	dictionary
location	house	balay	dictionary
location	street; road	dalan	dictionary
location	airport	tugpahanan	dictionary
location	bridge	taytayan	dictionary
location	hotel	hotel	unconfirmed
location	restaurant	restawran	unconfirmed
location	farm; field	uma	dictionary
location	court	korte	unconfirmed
location	school	eskwelahan	variant
location	office	opisina	dictionary
location	room	kwarto	unconfirmed
location	town	lungsod	dictionary
location	university	unibersidad	dictionary
location	bar	bar	unconfirmed
location	park	parke	unconfirmed
location	camp	kampo	unconfirmed
location	store; shop	tindahan	dictionary
location	theater	teatro	unconfirmed
location	library	librarya	unconfirmed
location	hospital	ospital	dictionary
location	church	simbahan	dictionary
location	market	merkado	dictionary
location	country	nasod	dictionary
location	building	bilding	unconfirmed
location	ground; earth; soil	yuta	dictionary
location	outer space	kawanangan	dictionary
location	bank	bangko	dictionary
location	place; location	lugar	usage
clothing	hat	kalo	dictionary
clothing	dress	bestida	unconfirmed
clothing	skirt	sayal	variant
clothing	clothes; shirt	sinina	dictionary
clothing	T-shirt	kamiseta	unconfirmed
clothing	pants	karsones	dictionary
clothing	shoes	sapatos	dictionary
clothing	pocket	bulsa	dictionary
clothing	jacket; coat	dyaket	unconfirmed
clothing	stain	mansa	dictionary
color	red	pula	dictionary
color	green	berde	dictionary
color	blue	asul	dictionary
color	yellow	dalag	dictionary
color	orange	kahel	unconfirmed
color	black	itom	dictionary
color	white	puti	dictionary
color	gray	abuhon	unconfirmed
color	color	kolor	dictionary
people	mother	inahan	dictionary
people	father	amahan	dictionary
